               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.024109,           0.0037472,           0.0035295,             0.91671,             0.86686,             0.95248,             0.66676,            0.023563,           0.0017321,           0.0027533,           0.0017804,           0.0017804,           0.0017804
                  35,            0.023983,           0.0036481,           0.0035371,             0.95008,             0.87291,             0.96396,             0.69736,            0.022883,           0.0016966,           0.0026846,           0.0017738,           0.0017738,           0.0017738
                  36,            0.023159,           0.0034466,           0.0033338,             0.94693,             0.86282,             0.96077,             0.68135,            0.022414,           0.0017077,            0.002619,           0.0017671,           0.0017671,           0.0017671
                  37,            0.023768,           0.0034011,           0.0032133,             0.93183,             0.84086,             0.96561,             0.66124,            0.025424,           0.0016821,           0.0025911,           0.0017605,           0.0017605,           0.0017605
                  38,            0.022834,           0.0034795,           0.0031587,             0.91704,             0.84749,             0.96851,             0.66225,            0.024236,           0.0017036,           0.0025403,           0.0017538,           0.0017538,           0.0017538
                  39,            0.023226,           0.0035059,           0.0031252,              0.9464,             0.84876,             0.96922,              0.6539,            0.023446,           0.0016658,           0.0024949,           0.0017472,           0.0017472,           0.0017472
                  40,            0.022632,           0.0033477,           0.0030927,             0.93141,             0.86362,              0.9675,             0.68525,            0.022591,           0.0016284,           0.0024923,           0.0017405,           0.0017405,           0.0017405
                  41,            0.023679,           0.0034562,           0.0030506,             0.93305,             0.88145,             0.97368,             0.67949,            0.022244,           0.0016185,           0.0024092,           0.0017339,           0.0017339,           0.0017339
                  42,            0.021701,           0.0032665,           0.0029338,             0.92962,              0.8747,             0.97414,             0.68832,            0.022013,           0.0016426,            0.002346,           0.0017272,           0.0017272,           0.0017272
                  43,            0.023601,           0.0035063,           0.0031408,             0.92904,             0.87761,             0.97329,              0.6721,            0.023835,           0.0016418,           0.0023098,           0.0017206,           0.0017206,           0.0017206
                  44,            0.021437,           0.0032348,           0.0026689,             0.93724,             0.87351,             0.97142,             0.68503,            0.022316,           0.0016169,           0.0022656,           0.0017139,           0.0017139,           0.0017139
                  45,            0.023186,           0.0032067,           0.0029194,             0.94447,             0.90129,             0.97674,              0.6968,            0.023126,           0.0015913,           0.0022229,           0.0017073,           0.0017073,           0.0017073
                  46,            0.021864,           0.0033144,           0.0027365,             0.94232,             0.89852,             0.97953,             0.70283,             0.02204,           0.0016049,           0.0021455,           0.0017006,           0.0017006,           0.0017006
                  47,            0.022042,           0.0032667,           0.0026456,             0.92244,             0.91534,             0.98031,             0.71465,             0.02163,           0.0015674,           0.0020856,           0.0016939,           0.0016939,           0.0016939
                  48,            0.022581,           0.0033167,            0.002808,             0.94105,             0.92849,             0.98056,             0.71335,             0.02233,           0.0015399,           0.0020802,           0.0016873,           0.0016873,           0.0016873
                  49,             0.02189,           0.0031517,           0.0023959,             0.93743,             0.91236,             0.97807,             0.71613,            0.022589,            0.001576,           0.0020591,           0.0016806,           0.0016806,           0.0016806
                  50,             0.02214,           0.0031882,           0.0024401,             0.92468,             0.91358,             0.97849,             0.69024,            0.022814,           0.0015924,           0.0020236,            0.001674,            0.001674,            0.001674
                  51,            0.021987,           0.0032188,           0.0025159,              0.9401,             0.91896,             0.97942,             0.70536,             0.02136,           0.0015862,           0.0020021,           0.0016673,           0.0016673,           0.0016673
                  52,            0.022023,           0.0030292,           0.0023825,             0.94176,             0.92893,             0.97962,             0.71234,            0.023063,            0.001566,           0.0019706,           0.0016607,           0.0016607,           0.0016607
                  53,            0.021427,           0.0029814,           0.0025262,             0.94967,             0.93453,             0.98261,             0.71039,            0.022631,            0.001517,           0.0019477,            0.001654,            0.001654,            0.001654
                  54,            0.021585,           0.0031949,            0.002422,             0.95015,             0.93324,             0.98288,             0.69156,            0.022437,            0.001476,           0.0018701,           0.0016474,           0.0016474,           0.0016474
                  55,            0.020676,           0.0029641,           0.0021517,             0.96087,             0.93841,             0.98685,             0.69822,            0.021782,           0.0014468,           0.0017997,           0.0016407,           0.0016407,           0.0016407
                  56,            0.021666,           0.0030426,           0.0021146,             0.95562,             0.95323,             0.98827,             0.71764,            0.021128,           0.0014335,           0.0017852,           0.0016341,           0.0016341,           0.0016341
                  57,             0.02068,           0.0031437,           0.0021071,             0.95121,             0.97052,             0.98812,             0.72298,            0.020786,           0.0014152,           0.0017346,           0.0016274,           0.0016274,           0.0016274
                  58,            0.020883,           0.0027741,           0.0020936,             0.94536,             0.97213,             0.98817,             0.73232,            0.019896,           0.0014038,           0.0017005,           0.0016208,           0.0016208,           0.0016208
                  59,            0.020782,           0.0028816,           0.0021895,             0.95289,             0.97674,              0.9883,              0.7233,            0.020602,            0.001399,            0.001674,           0.0016141,           0.0016141,           0.0016141
                  60,            0.021042,           0.0028385,             0.00207,             0.95488,             0.97099,             0.98649,             0.71019,            0.022326,           0.0013865,            0.001664,           0.0016075,           0.0016075,           0.0016075
                  61,            0.020961,           0.0029438,           0.0021825,             0.95659,             0.96668,             0.98492,             0.71106,             0.02131,           0.0014156,           0.0016553,           0.0016008,           0.0016008,           0.0016008
                  62,            0.021154,           0.0031335,           0.0022714,             0.96209,             0.96739,             0.98723,             0.71596,            0.021317,           0.0014279,           0.0016112,           0.0015941,           0.0015941,           0.0015941
                  63,            0.021012,           0.0027583,           0.0020356,             0.95626,             0.95488,             0.98439,             0.71409,            0.020844,           0.0014415,           0.0015938,           0.0015875,           0.0015875,           0.0015875
                  64,            0.020726,            0.002736,           0.0019924,             0.96239,             0.95558,             0.98582,             0.71206,            0.022487,           0.0014272,           0.0016058,           0.0015808,           0.0015808,           0.0015808
                  65,            0.020169,           0.0029077,            0.001905,             0.95856,             0.97338,              0.9862,             0.70903,            0.021127,           0.0014003,           0.0015512,           0.0015742,           0.0015742,           0.0015742
                  66,            0.020862,            0.002918,            0.002059,             0.96032,             0.96876,             0.98593,             0.72899,            0.020107,           0.0013947,           0.0015529,           0.0015675,           0.0015675,           0.0015675
                  67,            0.020447,           0.0026544,           0.0019201,             0.96457,             0.96787,             0.98595,              0.6933,            0.022642,           0.0013863,           0.0015172,           0.0015609,           0.0015609,           0.0015609
                  68,            0.020068,           0.0028731,           0.0018851,             0.97143,              0.9685,             0.98724,              0.7015,            0.021256,           0.0013368,           0.0014693,           0.0015542,           0.0015542,           0.0015542
                  69,            0.020617,           0.0027031,           0.0018375,             0.97614,             0.96415,             0.98806,              0.7251,            0.020183,           0.0013547,           0.0014445,           0.0015476,           0.0015476,           0.0015476
                  70,            0.019371,           0.0026986,           0.0016742,             0.96612,             0.95672,              0.9872,             0.72273,            0.020471,           0.0013424,           0.0014327,           0.0015409,           0.0015409,           0.0015409
                  71,            0.018958,            0.002638,           0.0016209,             0.97052,             0.95852,             0.98635,             0.69768,            0.020268,           0.0013408,           0.0013614,           0.0015343,           0.0015343,           0.0015343
                  72,            0.019518,           0.0026973,           0.0016339,              0.9808,             0.95887,             0.98724,              0.7183,            0.019954,           0.0013075,            0.001313,           0.0015276,           0.0015276,           0.0015276
                  73,             0.01968,           0.0027058,           0.0016056,             0.98127,             0.95921,             0.98747,             0.70846,             0.02015,           0.0013167,           0.0012789,            0.001521,            0.001521,            0.001521
                  74,            0.019574,           0.0026725,           0.0017379,             0.97843,             0.96937,             0.98854,             0.71599,            0.020617,           0.0013133,           0.0012444,           0.0015143,           0.0015143,           0.0015143
                  75,            0.020022,           0.0028316,           0.0015635,             0.97788,              0.9663,             0.98791,             0.70867,             0.02156,           0.0013338,           0.0012114,           0.0015077,           0.0015077,           0.0015077
                  76,            0.019567,           0.0025492,           0.0015187,             0.97902,             0.97697,             0.98773,             0.73972,            0.020607,           0.0013182,           0.0011831,            0.001501,            0.001501,            0.001501
                  77,            0.019286,           0.0026315,           0.0016011,              0.9748,             0.97376,             0.98844,             0.72059,            0.020514,           0.0013166,           0.0011864,           0.0014943,           0.0014943,           0.0014943
                  78,            0.019628,            0.002733,           0.0016872,             0.97458,             0.97735,             0.98735,             0.70417,            0.021377,           0.0012985,           0.0011809,           0.0014877,           0.0014877,           0.0014877
                  79,            0.019163,            0.002433,           0.0014856,             0.97626,             0.96989,             0.98895,             0.70638,            0.021339,           0.0012852,           0.0012006,            0.001481,            0.001481,            0.001481
                  80,            0.019883,           0.0028217,           0.0014965,             0.97152,             0.97634,             0.98726,             0.71848,            0.020431,           0.0012951,           0.0011648,           0.0014744,           0.0014744,           0.0014744
                  81,            0.019063,           0.0025401,           0.0013685,             0.96577,             0.97668,             0.98757,             0.71918,            0.019843,           0.0012768,           0.0011446,           0.0014677,           0.0014677,           0.0014677
                  82,            0.019125,           0.0026746,           0.0015638,             0.96987,             0.97989,             0.98751,             0.72433,            0.020942,           0.0012803,           0.0011599,           0.0014611,           0.0014611,           0.0014611
                  83,            0.019706,           0.0026541,           0.0015688,             0.96637,             0.97804,             0.98693,             0.73173,            0.020871,           0.0012532,             0.00115,           0.0014544,           0.0014544,           0.0014544
                  84,            0.019351,           0.0027323,           0.0015947,             0.97206,              0.9799,             0.98762,              0.7305,            0.020637,            0.001253,           0.0011094,           0.0014478,           0.0014478,           0.0014478
                  85,            0.018873,           0.0025672,           0.0014911,             0.96994,             0.98038,             0.98767,             0.73003,            0.019716,           0.0012619,           0.0010531,           0.0014411,           0.0014411,           0.0014411
                  86,            0.019328,           0.0024647,           0.0013243,             0.96159,             0.97562,             0.98715,             0.71631,            0.021575,            0.001294,           0.0010424,           0.0014345,           0.0014345,           0.0014345
                  87,            0.018612,           0.0025928,           0.0012984,             0.97426,             0.97505,             0.98901,             0.73266,            0.020649,           0.0012756,           0.0010325,           0.0014278,           0.0014278,           0.0014278
                  88,            0.019536,           0.0027302,           0.0014717,             0.96922,             0.98042,             0.98857,             0.74378,            0.020235,           0.0012551,           0.0010277,           0.0014212,           0.0014212,           0.0014212
                  89,            0.019212,           0.0027505,           0.0014458,             0.97528,             0.97928,             0.98928,             0.73637,            0.019528,           0.0012533,           0.0010392,           0.0014145,           0.0014145,           0.0014145
                  90,            0.019024,           0.0026939,           0.0013202,             0.97205,             0.97784,             0.98871,             0.72547,            0.019109,           0.0012561,           0.0010416,           0.0014079,           0.0014079,           0.0014079
                  91,            0.018361,           0.0026593,           0.0013485,             0.97243,             0.97166,             0.98893,             0.72899,            0.019855,           0.0012439,           0.0010215,           0.0014012,           0.0014012,           0.0014012
                  92,            0.018355,           0.0025336,            0.001189,             0.97213,             0.97261,             0.98899,             0.72755,            0.020737,            0.001264,           0.0010187,           0.0013945,           0.0013945,           0.0013945
                  93,            0.018655,           0.0023048,           0.0012121,             0.97911,             0.95376,             0.98939,             0.73193,            0.019595,           0.0012703,          0.00098513,           0.0013879,           0.0013879,           0.0013879
                  94,            0.019416,           0.0026331,           0.0014934,             0.97583,             0.96759,             0.98983,              0.7507,            0.019023,           0.0012777,          0.00096995,           0.0013812,           0.0013812,           0.0013812
                  95,            0.018621,           0.0025241,           0.0011633,             0.97809,             0.97511,              0.9893,             0.72277,            0.019832,           0.0012665,          0.00094585,           0.0013746,           0.0013746,           0.0013746
                  96,            0.018459,           0.0025056,           0.0012408,             0.98157,             0.97365,             0.98979,             0.71713,            0.020836,           0.0012948,          0.00093545,           0.0013679,           0.0013679,           0.0013679
                  97,            0.018239,           0.0025168,           0.0011618,             0.97931,             0.98416,             0.99027,             0.72118,            0.020686,           0.0012936,          0.00089693,           0.0013613,           0.0013613,           0.0013613
                  98,            0.017907,           0.0024858,           0.0011591,             0.97929,             0.98142,             0.99024,             0.73604,            0.018591,           0.0012653,          0.00089557,           0.0013546,           0.0013546,           0.0013546
                  99,            0.018503,           0.0025428,           0.0012361,             0.98034,             0.97911,             0.99045,             0.74208,            0.020019,           0.0012627,          0.00093552,            0.001348,            0.001348,            0.001348
                 100,            0.018073,           0.0023313,           0.0011674,             0.97369,             0.98146,             0.98981,             0.74158,            0.019202,            0.001246,           0.0009303,           0.0013413,           0.0013413,           0.0013413
                 101,            0.018159,           0.0024259,           0.0011848,             0.97104,             0.98791,             0.98993,              0.7198,            0.020534,           0.0012422,            0.000928,           0.0013347,           0.0013347,           0.0013347
                 102,            0.017493,           0.0024549,           0.0009924,               0.971,             0.98431,             0.99009,             0.73298,            0.019076,            0.001245,          0.00089214,            0.001328,            0.001328,            0.001328
                 103,            0.017748,           0.0023192,           0.0011131,             0.98099,             0.97377,             0.99062,             0.72441,            0.020085,           0.0012161,          0.00087811,           0.0013214,           0.0013214,           0.0013214
                 104,             0.01797,           0.0024645,           0.0010936,             0.98318,             0.98439,             0.99123,             0.72538,            0.020981,           0.0011954,          0.00087134,           0.0013147,           0.0013147,           0.0013147
                 105,            0.018375,           0.0024698,           0.0011106,             0.98194,             0.98368,             0.99132,             0.75156,            0.018627,            0.001167,          0.00086649,           0.0013081,           0.0013081,           0.0013081
                 106,            0.017846,           0.0023815,           0.0011338,             0.98153,             0.98307,             0.99125,              0.7316,             0.01823,           0.0011746,          0.00088583,           0.0013014,           0.0013014,           0.0013014
                 107,            0.017461,           0.0024212,           0.0010666,              0.9788,             0.98311,             0.99146,             0.71942,            0.020518,           0.0011862,           0.0008731,           0.0012947,           0.0012947,           0.0012947
                 108,            0.018198,           0.0024003,           0.0012241,             0.98443,             0.97475,             0.99134,             0.74035,            0.019261,           0.0012292,          0.00088889,           0.0012881,           0.0012881,           0.0012881
                 109,            0.017577,           0.0023133,           0.0010377,             0.98506,             0.97941,              0.9912,             0.72924,            0.019954,           0.0012306,          0.00089708,           0.0012814,           0.0012814,           0.0012814
                 110,            0.017621,           0.0023168,           0.0010762,             0.98519,             0.97737,             0.99113,             0.73689,             0.02012,           0.0012231,          0.00085372,           0.0012748,           0.0012748,           0.0012748
                 111,             0.01777,           0.0023394,           0.0010075,             0.98617,             0.97097,             0.99107,             0.72827,            0.020287,           0.0012497,          0.00085138,           0.0012681,           0.0012681,           0.0012681
                 112,             0.01748,           0.0024008,           0.0012273,             0.96872,             0.98105,              0.9906,             0.73583,            0.019723,           0.0012453,          0.00089754,           0.0012615,           0.0012615,           0.0012615
                 113,            0.018318,           0.0024002,          0.00097523,             0.97059,             0.97777,             0.99065,             0.74755,             0.01879,           0.0012439,          0.00088315,           0.0012548,           0.0012548,           0.0012548
                 114,            0.018335,           0.0024901,           0.0009079,             0.97418,             0.97233,             0.99066,             0.74682,            0.019734,            0.001252,          0.00084014,           0.0012482,           0.0012482,           0.0012482
                 115,            0.017847,           0.0023538,           0.0010829,              0.9809,             0.98043,             0.99104,             0.73692,            0.019808,           0.0012358,          0.00080937,           0.0012415,           0.0012415,           0.0012415
                 116,            0.016747,           0.0022443,          0.00092832,             0.97475,             0.97953,             0.99096,             0.73407,            0.019095,            0.001226,          0.00078426,           0.0012349,           0.0012349,           0.0012349
                 117,            0.017025,           0.0024013,           0.0010365,             0.96592,             0.98161,             0.99033,             0.74369,             0.01925,           0.0012234,          0.00080735,           0.0012282,           0.0012282,           0.0012282
                 118,             0.01725,           0.0024102,          0.00097223,             0.96891,             0.98182,             0.99075,             0.71887,            0.020575,           0.0012316,          0.00081066,           0.0012216,           0.0012216,           0.0012216
                 119,            0.017499,           0.0023003,          0.00095945,             0.96864,             0.98502,             0.99099,             0.71659,            0.020291,           0.0011809,          0.00078456,           0.0012149,           0.0012149,           0.0012149
                 120,            0.017314,           0.0022633,           0.0010019,             0.97336,             0.98161,             0.99088,             0.73623,            0.019361,           0.0011876,          0.00078351,           0.0012083,           0.0012083,           0.0012083
                 121,            0.017053,           0.0023486,           0.0009999,             0.97368,             0.97789,             0.99061,             0.71564,            0.019908,           0.0012082,          0.00078839,           0.0012016,           0.0012016,           0.0012016
                 122,            0.016807,            0.002233,          0.00091949,             0.96959,             0.97391,             0.99007,             0.73847,            0.018195,           0.0012061,          0.00079263,           0.0011949,           0.0011949,           0.0011949
                 123,            0.016492,           0.0023706,          0.00087926,             0.96415,             0.97893,             0.99013,             0.72948,            0.018417,           0.0012201,          0.00077101,           0.0011883,           0.0011883,           0.0011883
                 124,             0.01716,           0.0022802,          0.00092654,             0.96348,             0.97737,             0.99036,             0.75135,            0.019013,           0.0012139,          0.00074165,           0.0011816,           0.0011816,           0.0011816
                 125,            0.018209,           0.0025126,           0.0011049,              0.9647,             0.97576,             0.99042,             0.75915,            0.018468,           0.0012041,           0.0007223,            0.001175,            0.001175,            0.001175
                 126,            0.016661,           0.0021568,          0.00081993,             0.96331,             0.97718,              0.9905,             0.74335,            0.019123,           0.0012436,          0.00071734,           0.0011683,           0.0011683,           0.0011683
                 127,            0.017347,           0.0023552,           0.0010117,             0.96119,             0.98039,             0.99005,             0.74693,            0.018798,           0.0012028,          0.00069319,           0.0011617,           0.0011617,           0.0011617
                 128,            0.017722,           0.0024111,           0.0010546,             0.96248,             0.98679,              0.9903,             0.75798,            0.018118,            0.001217,          0.00069537,            0.001155,            0.001155,            0.001155
                 129,            0.016798,            0.002248,          0.00093727,             0.96592,             0.98626,             0.98976,              0.7492,            0.019603,           0.0012079,          0.00070134,           0.0011484,           0.0011484,           0.0011484
                 130,            0.016602,           0.0021433,          0.00082783,             0.97216,             0.98842,             0.99052,             0.76048,            0.018576,           0.0011772,          0.00068591,           0.0011417,           0.0011417,           0.0011417
                 131,            0.017151,           0.0022115,          0.00078428,             0.98178,             0.95982,              0.9898,             0.75729,            0.018767,           0.0011688,          0.00070079,           0.0011351,           0.0011351,           0.0011351
                 132,            0.016452,           0.0022131,           0.0008286,             0.98228,             0.97773,             0.99119,             0.74564,            0.019655,           0.0011508,          0.00068595,           0.0011284,           0.0011284,           0.0011284
                 133,            0.016642,           0.0022004,           0.0007789,             0.97287,             0.98464,             0.99058,             0.74937,            0.019393,           0.0011398,          0.00068856,           0.0011218,           0.0011218,           0.0011218
                 134,            0.015927,           0.0023214,           0.0009334,             0.97477,             0.98487,             0.99083,             0.74543,            0.019347,           0.0011331,          0.00066649,           0.0011151,           0.0011151,           0.0011151
                 135,            0.017081,           0.0022241,          0.00090971,             0.98002,             0.98472,             0.99136,               0.748,            0.018281,           0.0011424,          0.00066176,           0.0011085,           0.0011085,           0.0011085
                 136,            0.016852,           0.0022185,          0.00091313,             0.98261,             0.98418,             0.99148,             0.74068,            0.019314,           0.0011431,          0.00064012,           0.0011018,           0.0011018,           0.0011018
                 137,            0.017117,           0.0022503,          0.00093029,             0.98154,             0.98341,             0.99146,             0.76041,            0.018485,           0.0011945,          0.00064519,           0.0010951,           0.0010951,           0.0010951
                 138,            0.016653,           0.0022259,          0.00089994,             0.97153,             0.97968,             0.99046,             0.74277,            0.019112,           0.0011856,          0.00066747,           0.0010885,           0.0010885,           0.0010885
                 139,            0.016307,           0.0020955,          0.00080589,             0.97984,             0.97332,             0.99079,             0.75456,            0.017903,           0.0011829,          0.00068249,           0.0010818,           0.0010818,           0.0010818
                 140,            0.016272,           0.0021498,           0.0008527,             0.98633,             0.97811,             0.99113,             0.75652,            0.019211,           0.0011546,          0.00068374,           0.0010752,           0.0010752,           0.0010752
                 141,            0.017046,           0.0022673,           0.0009532,             0.98628,             0.98049,             0.99108,             0.75151,            0.018463,           0.0011651,          0.00067347,           0.0010685,           0.0010685,           0.0010685
                 142,            0.015784,           0.0022688,          0.00085037,             0.98475,              0.9811,             0.99109,             0.75372,            0.018651,           0.0011602,          0.00067568,           0.0010619,           0.0010619,           0.0010619
                 143,            0.016695,           0.0022453,          0.00096473,             0.97942,             0.98148,             0.99035,             0.74943,            0.018424,           0.0011733,          0.00067724,           0.0010552,           0.0010552,           0.0010552
                 144,            0.016325,           0.0023368,          0.00085195,             0.97849,             0.98345,             0.99055,             0.73345,             0.01991,           0.0011717,          0.00068489,           0.0010486,           0.0010486,           0.0010486
                 145,            0.016433,           0.0022241,          0.00085517,              0.9782,             0.98318,              0.9904,             0.73858,            0.019218,           0.0011778,          0.00070798,           0.0010419,           0.0010419,           0.0010419
                 146,            0.016393,           0.0022676,          0.00081252,              0.9772,             0.98384,             0.99045,             0.73476,            0.020166,           0.0011784,          0.00070976,           0.0010353,           0.0010353,           0.0010353
                 147,            0.015702,           0.0020141,          0.00073889,             0.97843,             0.98304,             0.99101,             0.75107,            0.019334,           0.0011486,          0.00065695,           0.0010286,           0.0010286,           0.0010286
                 148,            0.016454,            0.002425,          0.00083552,             0.97656,             0.98238,             0.99113,             0.76277,            0.018025,           0.0011463,          0.00065786,            0.001022,            0.001022,            0.001022
                 149,            0.015667,            0.002069,          0.00071655,             0.97718,             0.98263,             0.99093,             0.74061,            0.020165,           0.0011618,          0.00064926,           0.0010153,           0.0010153,           0.0010153
                 150,            0.015876,           0.0021535,          0.00079475,             0.97706,             0.98388,              0.9908,             0.74481,            0.019657,           0.0011704,          0.00063719,           0.0010087,           0.0010087,           0.0010087
                 151,            0.015472,           0.0021163,          0.00074377,             0.97679,              0.9836,             0.99003,             0.76249,            0.018376,           0.0011822,          0.00063037,            0.001002,            0.001002,            0.001002
                 152,            0.015259,           0.0021958,          0.00078058,             0.97769,             0.98386,             0.98993,             0.75132,            0.018364,           0.0011386,          0.00063298,          0.00099535,          0.00099535,          0.00099535
                 153,            0.016224,            0.002296,           0.0007363,             0.97675,             0.98349,             0.98993,             0.75403,            0.018836,           0.0011415,          0.00062359,          0.00098869,          0.00098869,          0.00098869
                 154,            0.016207,           0.0021882,          0.00075123,             0.97436,             0.98226,             0.98997,             0.74787,            0.018884,            0.001129,          0.00061629,          0.00098204,          0.00098204,          0.00098204
